epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9617,1.46228,2.61002,2.1582,0.01188,0.98889,0.56756,0.21938,2.03593,2.61378,2.75263,0.0674583,0.000328704,0.000328704
2,36.7194,1.30174,1.3185,1.8955,0.55549,0.81689,0.78139,0.25444,1.92814,2.86882,2.39794,0.0344365,0.00064019,0.00064019
3,54.2557,1.30627,1.1655,1.90015,0.68363,0.54888,0.57316,0.21775,1.95722,2.17224,2.15324,0.00139264,0.000929676,0.000929676
4,71.7172,1.21389,1.03343,1.78497,0.73743,0.84385,0.92694,0.36414,2.05763,1.56152,2.48994,0.000901,0.000901,0.000901
5,89.4263,1.19109,0.94925,1.75412,0.91415,0.96447,0.97899,0.59841,1.44442,1.08565,1.65879,0.000868,0.000868,0.000868
6,107.08,1.15369,0.89641,1.72922,0.91578,0.96396,0.96963,0.53043,1.65753,0.80747,1.97007,0.000835,0.000835,0.000835
7,124.72,1.06228,0.82116,1.65293,0.82488,0.88889,0.94395,0.59889,1.31189,0.88151,1.45711,0.000802,0.000802,0.000802
8,142.198,1.0595,0.80328,1.6502,0.94301,0.97852,0.97731,0.60157,1.45994,0.76582,1.65988,0.000769,0.000769,0.000769
9,159.741,1.07372,0.77649,1.65077,0.98853,0.97996,0.98232,0.64349,1.33047,0.67721,1.53423,0.000736,0.000736,0.000736
10,177.351,1.03138,0.7465,1.61552,0.9783,0.98889,0.98392,0.50516,1.88499,0.75956,2.32996,0.000703,0.000703,0.000703
11,194.982,1.0196,0.73391,1.59463,0.96277,0.97518,0.9816,0.67368,1.279,0.66357,1.42051,0.00067,0.00067,0.00067
12,212.555,0.96999,0.67975,1.58316,0.96836,0.97455,0.97995,0.72401,1.11805,0.60648,1.22413,0.000637,0.000637,0.000637
13,230.321,0.961,0.66873,1.5517,0.9891,0.98889,0.97852,0.64515,1.38996,0.60221,1.6822,0.000604,0.000604,0.000604
14,248.037,0.96081,0.65718,1.57142,0.98383,0.98737,0.98364,0.66206,1.30552,0.58723,1.50385,0.000571,0.000571,0.000571
15,265.961,0.89005,0.58761,1.49563,0.98725,0.98889,0.98377,0.61991,1.49977,0.61445,1.85458,0.000538,0.000538,0.000538
16,283.752,0.91488,0.60756,1.51146,0.97804,0.98889,0.98209,0.69527,1.18683,0.52189,1.3702,0.000505,0.000505,0.000505
17,301.379,0.8958,0.599,1.50092,0.98946,0.98708,0.98112,0.72572,1.07007,0.52641,1.18442,0.000472,0.000472,0.000472
18,319.034,0.92347,0.59462,1.52083,0.98771,0.98889,0.98226,0.75712,1.02391,0.47757,1.14895,0.000439,0.000439,0.000439
19,336.676,0.94464,0.61945,1.56324,0.98933,0.98889,0.98167,0.76487,1.02293,0.5085,1.13869,0.000406,0.000406,0.000406
20,354.401,0.87275,0.56158,1.46936,0.98747,0.98889,0.98098,0.73231,1.08145,0.48323,1.21815,0.000373,0.000373,0.000373
21,384.336,1.04142,0.56935,1.3003,0.97371,0.98102,0.97939,0.77739,0.96877,0.47555,1.08642,0.00034,0.00034,0.00034
22,401.725,1.00125,0.50061,1.22254,0.98912,0.98851,0.97931,0.74352,0.99548,0.46619,1.09065,0.000307,0.000307,0.000307
23,421.069,0.95693,0.46092,1.20734,0.98875,0.98889,0.98201,0.77127,1.00992,0.46217,1.12619,0.000274,0.000274,0.000274
24,440.768,0.9019,0.43512,1.13909,0.9884,0.98889,0.98538,0.77213,0.99186,0.43821,1.10922,0.000241,0.000241,0.000241
25,459.454,0.90819,0.42686,1.14986,0.99011,0.98889,0.98424,0.79219,0.98098,0.42978,1.12259,0.000208,0.000208,0.000208
26,478.511,0.90398,0.40404,1.13059,0.98715,0.98805,0.98512,0.73914,1.10459,0.45219,1.30075,0.000175,0.000175,0.000175
27,497.764,0.86356,0.39959,1.11746,0.98968,0.98889,0.98426,0.79038,0.97696,0.43484,1.06598,0.000142,0.000142,0.000142
28,515.847,0.85243,0.38769,1.07531,0.98956,0.98889,0.986,0.79673,0.95112,0.40026,1.04142,0.000109,0.000109,0.000109
29,533.288,0.87867,0.39043,1.06458,0.98966,0.98889,0.98565,0.80551,0.94395,0.41156,1.02759,7.6e-05,7.6e-05,7.6e-05
30,550.688,0.85085,0.37951,1.04548,0.98995,0.98889,0.9869,0.79414,0.93691,0.39237,1.02092,4.3e-05,4.3e-05,4.3e-05
